pyrad_name,field_name_pyart
H_ISO0,height_over_iso0
H_ISO0c,corrected_height_over_iso0
HZT,iso0_height
HZTc,corrected_iso0_height
cosmo_index,cosmo_index
hzt_index,hzt_index
ml,melting_layer
VIS,visibility
HGHT,height
vis,visibility
visibility,visibility
visibility_polar,visibility_polar
terrain_altitude,terrain_altitude
bent_terrain_altitude,bent_terrain_altitude
terrain_slope,terrain_slope
terrain_aspect,terrain_aspect
elevation_angle,elevation_angle
min_vis_elevation,min_vis_elevation
min_vis_altitude,min_vis_altitude
incident_angle,incident_angle
sigma_0,sigma_0
effective_area,effective_area
dBm_clutter,dBm_clutter
dBZ_clutter,dBZ_clutter
echoID,radar_echo_id
CLT,clutter_exit_code
occurrence,occurrence
freq_occu,frequency_of_occurrence
RR,radar_estimated_rain_rate
RRc,corrected_radar_estimated_rain_rate
Raccu,rainfall_accumulation
RaccuMF,rainfall_accumulation
QIMF,signal_quality_index
radar_R_rel,radar_rainrate_relation
prec_type,precipitation_type
hydro,radar_echo_classification
hydroMF,radar_echo_classification_MF
hydroc,corrected_radar_echo_classification
confidence,hydroclass_confidence
entropy,hydroclass_entropy
propAG,proportion_AG
propCR,proportion_CR
propLR,proportion_LR
propRP,proportion_RP
propRN,proportion_RN
propVI,proportion_VI
propWS,proportion_WS
propMH,proportion_MH
propIH,proportion_IH
probAG,probability_AG
probCR,probability_CR
probLR,probability_LR
probRP,probability_RP
probRN,probability_RN
probVI,probability_VI
probWS,probability_WS
probMH,probability_MH
probIH,probability_IH
time_avg_flag,time_avg_flag
colocated_gates,colocated_gates
nsamples,number_of_samples
bird_density,bird_density
std,standard_deviation
sum,sum
sum2,sum_squared
diff,fields_difference
mask,field_mask
texture,field_texture
ShhADU,complex_spectra_hh_ADU
ShhADUu,unfiltered_complex_spectra_hh_ADU
SvvADU,complex_spectra_vv_ADU
SvvADUu,unfiltered_complex_spectra_vv_ADU
sPhhADU,spectral_power_hh_ADU
sPhhADUu,unfiltered_spectral_power_hh_ADU
sPvvADU,spectral_power_vv_ADU
sPvvADUu,unfiltered_spectral_power_vv_ADU
sPhhdBADU,spectral_power_hh_dBADU
sPhhdBADUu,unfiltered_spectral_power_hh_dBADU
sPvvdBADU,spectral_power_vv_dBADU
sPvvdBADUu,unfiltered_spectral_power_vv_dBADU
sPhhdBm,spectral_power_hh_dBm
sPhhdBmu,unfiltered_spectral_power_hh_dBm
sPvvdBm,spectral_power_vv_dBm
sPvvdBmu,unfiltered_spectral_power_vv_dBm
sNh,spectral_noise_power_hh_dBZ
sNv,spectral_noise_power_vv_dBZ
sNdBADUh,spectral_noise_power_hh_dBADU
sNdBADUv,spectral_noise_power_vv_dBADU
sNdBmh,spectral_noise_power_hh_dBm
sNdBmv,spectral_noise_power_vv_dBm
sNADUh,spectral_noise_power_hh_ADU
sNADUv,spectral_noise_power_vv_ADU
sPhasehh,spectral_phase_hh
sPhasehhu,unfiltered_spectral_phase_hh
sPhasevv,spectral_phase_vv
sPhasevvu,unfiltered_spectral_phase_vv
sdBZ,spectral_reflectivity_hh
sdBuZ,unfiltered_spectral_reflectivity_hh
sdBZv,spectral_reflectivity_vv
sdBuZv,unfiltered_spectral_reflectivity_vv
sZDR,spectral_differential_reflectivity
sZDRu,unfiltered_spectral_differential_reflectivity
sPhiDP,spectral_differential_phase
sPhiDPu,unfiltered_spectral_differential_phase
sRhoHV,spectral_copolar_correlation_coefficient
sRhoHVu,unfiltered_spectral_copolar_correlation_coefficient
IQhhADU,IQ_hh_ADU
IQvvADU,IQ_vv_ADU
IQNh,IQ_noise_power_hh_dBZ
IQNv,IQ_noise_power_vv_dBZ
IQNdBADUh,IQ_noise_power_hh_dBADU
IQNdBADUv,IQ_noise_power_vv_dBADU
IQNdBmh,IQ_noise_power_hh_dBm
IQNdBmv,IQ_noise_power_vv_dBm
IQNADUh,IQ_noise_power_hh_ADU
IQNADUv,IQ_noise_power_vv_ADU
POH,probability_of_hail
VIL,vertically_integrated_liquid
ETOP15,echo_top_15dBZ
ETOP20,echo_top_20dBZ
ETOP45,echo_top_45dBZ
ETOP50,echo_top_50dBZ
MAXECHO,maximum_echo
HMAXECHO,maximum_echo_height
AZC01,rainfall_accumulation
AZC03,rainfall_accumulation
AZC06,rainfall_accumulation
aZC01,rainfall_accumulation
aZC03,rainfall_accumulation
aZC06,rainfall_accumulation
CPC0005,radar_estimated_rain_rate
CPC0060,rainfall_accumulation
CPC0180,rainfall_accumulation
CPC0360,rainfall_accumulation
CPC0720,rainfall_accumulation
CPC1440,rainfall_accumulation
CPC2880,rainfall_accumulation
CPC4320,rainfall_accumulation
CPCH0005,radar_estimated_rain_rate
CPCH0060,rainfall_accumulation
CPCH0180,rainfall_accumulation
CPCH0360,rainfall_accumulation
CPCH0720,rainfall_accumulation
CPCH1440,rainfall_accumulation
CPCH2880,rainfall_accumulation
CPCH4320,rainfall_accumulation
nowpal60_P60,rainfall_accumulation
nowpal90_P90,rainfall_accumulation
nowpal180_P180,rainfall_accumulation
nowpal360_P360,rainfall_accumulation
nowpal720_P720,rainfall_accumulation
nowpal90_P30,rainfall_accumulation
nowpal90_P30_F60,rainfall_accumulation
nowpal90_F60,rainfall_accumulation
nowpal180_P60,rainfall_accumulation
nowpal180_P60_F120,rainfall_accumulation
nowpal180_F120,rainfall_accumulation
nowpal360_P120,rainfall_accumulation
nowpal360_P120_F240,rainfall_accumulation
nowpal360_F240,rainfall_accumulation
nowpal720_P360,rainfall_accumulation
nowpal720_P360_F360,rainfall_accumulation
nowpal720_F360,rainfall_accumulation
dACC,rainfall_accumulation
dACCH,rainfall_accumulation
dARC,rainfall_accumulation
RZC,radar_estimated_rain_rate
R1F,radar_estimated_rain_rate
rZC,radar_estimated_rain_rate
RZF,radar_estimated_rain_rate
dRZC,radar_estimated_rain_rate
BZC,probability_of_hail
dBZC,probability_of_hail
MZC,maximum_expected_severe_hail_size
dMZC,maximum_expected_severe_hail_size
GZC,probability_of_hail
dGZC,probability_of_hail
CZC,maximum_echo
dCZC,maximum_echo
HZC,maximum_echo_height
EZC15,echo_top_15dBz
EZC20,echo_top_20dBz
EZC45,echo_top_45dBz
EZC50,echo_top_50dBz
dEZC15,echo_top_15dBZ
dEZC20,echo_top_20dBz
dEZC45,echo_top_45dBz
dEZC50,echo_top_50dBz
LZC,vertically_integrated_liquid
dLZC,vertically_integrated_liquid
OZC01,reflectivity
OZC02,reflectivity
OZC03,reflectivity
OZC04,reflectivity
OZC05,reflectivity
OZC06,reflectivity
OZC07,reflectivity
OZC08,reflectivity
OZC09,reflectivity
OZC10,reflectivity
OZC11,reflectivity
OZC12,reflectivity
OZC13,reflectivity
OZC14,reflectivity
OZC15,reflectivity
OZC16,reflectivity
OZC17,reflectivity
OZC18,reflectivity
ff,wind_speed
dd,wind_direction
u,eastward_wind_component
v,northward_wind_component
w,vertical_wind_component
width,height_resolution
gap,gap
dbz,bird_reflectivity
eta,volumetric_reflectivity
dens,bird_density
n,number_of_samples_velocity
n_dbz,number_of_samples_reflectivity
sd_vvp,retrieved_velocity_std
DBZH,reflectivity
n_all,number_of_samples_velocity_all
n_dbz_all,number_of_samples_reflectivity_all
VOL2BIRD_CLASS,vol2bird_echo_classification
VOL2BIRD_WEATHER,vol2bird_weather
VOL2BIRD_BACKGROUND,vol2bird_background
VOL2BIRD_BIOLOGY,vol2bird_biology
wind_vel_rad,radial_wind_speed
wind_vel_rad_filtered,corrected_radial_wind_speed
wind_vel_rad_ci,radial_wind_speed_ci
wind_vel_rad_status,radial_wind_speed_status
WD,doppler_spectrum_width
WD_err,doppler_spectrum_mean_error
atmos_type,atmospherical_structures_type
beta_rel,relative_beta
beta_abs,absolute_beta
CNR,cnr
HRV,HRV
VIS006,VIS006
VIS008,VIS008
IR_016,IR_016
IR_039,IR_039
WV_062,WV_062
WV_073,WV_073
IR_087,IR_087
IR_097,IR_097
IR_108,IR_108
IR_120,IR_120
IR_134,IR_134
CTH,CTH
HRV_norm,HRV_norm
VIS006_norm,VIS006_norm
VIS008_norm,VIS008_norm
IR_016_norm,IR_016_norm
SNR,signal_to_noise_ratio
VEL,VEL
RMS,RMS
LDR,LDR
NPK,NPK
SNRgc,SNRgc
VELgc,VELgc
RMSgc,RMSgc
LDRgc,LDRgc
NPKgc,NPKgc
SNRg,SNRg
VELg,VELg
RMSg,RMSg
LDRg,LDRg
NPKg,NPKg
SNRplank,SNRplank
VELplank,VELplank
RMSplank,RMSplank
LDRplank,LDRplank
NPKplank,NPKplank
SNRrain,SNRrain
VELrain,VELrain
RMSrain,RMSrain
LDRrain,LDRrain
NPKrain,NPKrain
SNRcl,SNRcl
VELcl,VELcl
RMScl,RMScl
LDRcl,LDRcl
NPKcl,NPKcl
SNRice,SNRice
VELice,VELice
RMSice,RMSice
LDRice,LDRice
NPKice,NPKice
RHO,RHO
DPS,DPS
LDRnormal,LDRnormal
RHOwav,RHOwav
DPSwav,DPSwav
SKWg,SKWg
HSDco,HSDco
HSDcx,HSDcx
Ze,Ze
Zg,Zg
Z,Z
RRcr,RR
LWCcr,LWC
TEMPcr,TEMP
ISDRco,ISDRco
ISDRcx,ISDRcx
SNRcx,SNRcx
SNRCorFaCo,SNRCorFaCo
SNRCorFaCo,SNRCorFaCo
avgdBZ,avg_reflectivity
NdBZ,npoints_reflectivity
quant05dBZ,quant05_reflectivity
quant10dBZ,quant10_reflectivity
quant20dBZ,quant20_reflectivity
quant50dBZ,quant50_reflectivity
quant80dBZ,quant80_reflectivity
quant90dBZ,quant90_reflectivity
quant95dBZ,quant95_reflectivity
avgRR,avg_radar_estimated_rain_rate
NRR,npoints_radar_estimated_rain_rate
quant05RR,quant05_radar_estimated_rain_rate
quant10RR,quant10_radar_estimated_rain_rate
quant20RR,quant20_radar_estimated_rain_rate
quant50RR,quant50_radar_estimated_rain_rate
quant80RR,quant80_radar_estimated_rain_rate
quant90RR,quant90_radar_estimated_rain_rate
quant95RR,quant95_radar_estimated_rain_rate
avgV,avg_velocity
NV,npoints_velocity
quant05V,quant05_velocity
quant10V,quant10_velocity
quant20V,quant20_velocity
quant50V,quant50_velocity
quant80V,quant80_velocity
quant90V,quant90_velocity
quant95V,quant95_velocity
avgVc,avg_corrected_velocity
NVc,npoints_corrected_velocity
quant05Vc,quant05_corrected_velocity
quant10Vc,quant10_corrected_velocity
quant20Vc,quant20_corrected_velocity
quant50Vc,quant50_corrected_velocity
quant80Vc,quant80_corrected_velocity
quant90Vc,quant90_corrected_velocity
quant95Vc,quant95_corrected_velocity
avgdealV,avg_dealiased_velocity
NdealV,npoints_dealiased_velocity
quant05dealV,quant05_dealiased_velocity
quant10dealV,quant10_dealiased_velocity
quant20dealV,quant20_dealiased_velocity
quant50dealV,quant50_dealiased_velocity
quant80dealV,quant80_dealiased_velocity
quant90dealV,quant90_dealiased_velocity
quant95dealV,quant95_dealiased_velocity
